,date,D_returns,ADP Employment Change US,API Crude Oil Stock Change US,Balance of Trade US,Business Inventories MoM US,Core Inflation Rate YoY US,Durable Goods Orders MoM US,EIA Crude Oil Stocks Change US,EIA Gasoline Stocks Change US,Existing Home Sales US,Existing Home Sales MoM US,Export Prices MoM US,Factory Orders MoM US,Housing Starts US,Housing Starts MoM US,ISM Manufacturing PMI US,Import Prices MoM US,Industrial Production MoM US,Industrial Production YoY US,Inflation Rate MoM US,Inflation Rate YoY US,Initial Jobless Claims US,Monthly Budget Statement US,NAHB Housing Market Index US,NY Empire State Manufacturing Index US,Net Long-term TIC Flows US,New Home Sales MoM US,Non Farm Payrolls US,PPI MoM US,Pending Home Sales MoM US,Pending Home Sales YoY US,Personal Spending MoM US,Philadelphia Fed Manufacturing Index US,Retail Sales MoM US,S&P/Case-Shiller Home Price YoY US,Unemployment Rate US,Balance of Trade EU,Industrial Production MoM EU,Inflation Rate YoY Final EU,Retail Sales MoM EU,Retail Sales YoY EU,Unemployment Rate EU,ZEW Economic Sentiment Index EU
OPEN,-0.6240177759891266,-0.03430739018773337,0.07496421047504234,-0.14918611298005832,0.3947827424794158,-0.003310280654963547,-0.49316469561416537,0.0628525298310093,-0.11920711700562926,-0.04749947293149073,0.3570437698176491,0.09205068106057847,0.09624462768356132,0.04331308081919712,0.17443224353138437,0.1631621060256647,0.3984490264225461,0.10141564875535632,0.13573530590561012,0.1828655807343409,-0.09054720204794056,-0.3573426008415077,-0.02004514640199439,0.13768627065580438,-0.0015013868789926644,0.3194072087009277,-0.14653438091308482,0.27028292800400117,0.0552958733836829,0.06540946516844355,0.08091075474556753,0.29159499164205765,0.05522419869020983,0.3385352719244258,0.0521894132550203,0.24918192028861802,0.4628630228061834,0.29091842243891436,0.05021623048384386,-0.4315836265314329,0.048089532041223876,0.028860833284572958,0.6454872393009737,0.5380773641869585
Q_returns,0.07153085743696153,0.13721317587504703,-0.15309560998035704,0.12958652649852762,0.09838983962539226,-0.2671241516450175,-0.06058430740207484,-0.07305729373652103,0.052557456418620044,-0.01905725555509569,0.016560447493800416,-0.019767374964908123,-0.03574975755861643,-0.09553910799722476,0.0362522535052532,-0.0034039291382524537,-0.2757035057220161,0.04127171626237195,-0.22503479559818287,-0.342343051329421,-0.1005450780749451,-0.07567823526705307,0.2095248815668696,-0.2045040274805498,-0.17087062348310766,-0.15165251887571907,-0.13033745172353145,0.15663036822066753,-0.11823053065775833,-0.037690737493977895,-0.0011948672844336917,-0.09756303283100472,-0.11180647166222295,-0.18734497784690018,-0.06500486457654905,-0.16274642320603422,0.1855850663787953,-0.046330445339713394,-0.11363222665382745,0.03714664010760084,0.016459494824920037,-0.27684640992850396,-0.038973088872158904,0.043012811033525535
M_returns,0.05335495787249608,0.20006924899801215,-0.10906650396890208,-0.007225323106900475,-0.06511843483808423,-0.12752794704470394,-0.06962248150788533,-0.0968963680212068,-0.10298495771739041,-0.02346272392209755,0.004863965405707378,0.1141627218476098,-0.012908794094992675,-0.051815303215677025,0.037416940974331694,-0.007072564090231859,-0.07547942191591878,0.013257563355121314,-0.13457971334545207,-0.2360575609362661,-0.03959401296961958,-0.08334156136025694,0.08374173849423429,-0.27893205201409654,-0.07459731112187915,-0.036374787937971685,-0.04622370755416463,0.2195229107043413,-0.09967096694442662,0.01615221191867041,0.028492429838725228,-0.12163548900438265,-0.04738315295571089,-0.09008329776921063,-0.06647952841783289,-0.13083124006142183,0.09011286012621542,-0.006300002199031782,0.026365359654400147,-0.03716616765536994,0.20255798745408077,-0.11108396861961302,-0.0015088511436694525,0.09523582200153713
1/2M_returns,0.03391567164345013,0.29202342219734956,0.016364263458449893,-0.025381153947385077,-0.07841697110230104,0.0007310330971407032,-0.003329883472303951,-0.1402454924862024,-0.07841900690391963,-0.023288277918187706,0.02052409253501006,0.0831268568066399,0.08413737333920084,-0.034738085930164704,-0.00010413032861442951,0.0062404254356298134,-0.2191852246725307,0.08301935687972478,0.016026381660132306,-0.024472800826282195,0.09142376864523366,0.014329697142620246,0.04660767004684986,-0.21770137807303766,0.024273880793102207,0.05112672707523076,0.01090276221077573,0.08910851887775935,-0.05462646595983798,0.1269848238666921,-0.05057913439201773,-0.015895688994528024,-0.128795691562768,-0.013323328059328286,-0.006391000421447084,-0.15542409227882728,0.0443962468226035,-0.06469406495730368,0.06309817742788942,-0.05421030003366635,0.10138139208957186,-0.07472452078990148,0.042615483812538824,0.028822553111439466
W_returns,0.023853672204529993,0.40393596076168387,-0.01579757224657435,-0.034275612323414965,-0.033957107112630155,0.02662414329319276,0.0776219794861015,-0.14089096011951516,-0.07843111807552858,-0.004883036678990142,0.09980578406809594,0.08800536041583741,0.10339163081600948,-0.1290368300165097,0.031371610265469696,-0.0034683273876444784,-0.15752786408971087,0.08214962945671364,-0.02741099609924872,-0.0650960074711727,0.08506428193739433,0.07713699987222003,0.03337777159356251,-0.17467892231418003,0.04877271452793085,0.0750874801179422,0.034174629336018565,0.03310265729265295,0.02087370406743633,0.030783940221189552,-0.019637171971410756,-0.005457186077935804,-0.12837722470578283,-0.07656906651129122,-0.006268948353951788,-0.11061351390584136,0.004450705969020967,0.03735178121209403,0.11738800222326953,0.027314339217677796,0.0726675694411361,-0.021462141936755212,0.05456920043771352,0.09039618546669358
